Repeat,Malmö-Göteborg,Göteborg-Stockholm,Malmö-Stockholm,Stockholm-Sundsvall,Stockholm-Umeå,Göteborg-Sundsvall,Sundsvall-Umeå,Umeå-Göteborg,Göteborg-Umeå,Malmö-Kiruna
0,75150,74312,33873,3658438,10274245,4839039,819282292,112794,29914603,275089389
1,56292,68514,35270,3099426,10485585,5291612,814963785,107487,30434992,273865625
2,61041,86324,34851,4097531,10039228,5469009,812008935,107277,29186085,278103891
3,56362,75429,33104,3878229,9905691,5444634,809899376,109302,28760820,269468821
4,61809,72355,31499,4953789,10395629,5123015,807858892,108604,28098094,270361326
5,51822,45816,31429,4212631,10303858,5615048,811977731,100293,28419365,272152623
6,55803,43930,31010,4107729,9522681,5611765,808370630,97779,28624489,269451502
7,198000,40509,30521,3581892,9991387,5039624,810063942,323017,28127567,269951149
8,53848,38204,264559,3831505,9980701,5219536,812982274,148483,28056399,271543537
9,54337,41556,32406,2443545,10301483,4742727,815919324,141499,28433613,269200633
10,48120,39460,30521,2587139,10244353,4842810,815809748,133257,27421469,269660750
11,53568,39880,31010,4129449,10421052,4892328,822374576,116146,28040335,275340265
12,49657,39600,32685,2814473,10677301,5052754,813978443,105670,27809090,286131972
13,53498,40438,31918,2871744,10098385,6222809,808153875,108394,28554648,271738956
14,47632,37784,30032,2496974,10118219,4896938,811666349,99315,27719343,272983533
15,53150,39042,30031,2859452,10332632,5186291,808954127,97708,27834023,272327860
16,48190,38064,31499,2547469,10134842,5024747,810849841,117264,27824106,272929057
17,46654,38343,30032,2760695,10161940,5013014,810392942,108604,27964906,275670827
18,47841,39670,31009,2982931,9860434,5264094,812334191,107975,27878163,273851315
19,48539,39111,30800,2443056,10559059,5075593,810674482,108674,27545508,271156549
20,49588,38552,30800,2634911,10525255,4910767,809577416,97778,27946887,270944860
21,47213,40158,30520,2495856,10113609,5007497,816671993,117893,28843303,277520234
22,49588,39041,30032,2837172,11512186,5351396,805601906,118311,29298880,273515519
23,45955,38064,31010,2948010,10695319,5174767,808514302,97499,28973139,274213586
24,229430,37645,32476,2641406,9887532,4871445,823494964,103436,27660747,273109252
25,51543,39182,30101,2555291,10186105,5093821,853228809,94426,28181415,275049730
26,62019,39600,32406,2434884,10069889,4904621,820357622,217277,29175190,268963807
27,46236,40508,30730,2544606,9680522,5040881,807944903,104344,27682816,272906364
28,49657,44000,29403,2493133,9998790,5047236,809927289,99454,28078678,271769204
29,499157,38552,31428,2660822,10102994,4985636,816064337,96801,28253980,272788122
30,87721,38343,31010,2759438,10491802,4912303,810145832,97010,28059262,274385189
31,78991,39670,31359,2598803,10562411,5309142,813940885,108813,28762147,274355229
32,90864,37155,30451,2544954,10678348,6685998,816655840,108813,27579241,271372854
33,109651,38552,31847,2667946,10079597,4724848,810742571,108255,28855036,271649777
34,254293,39251,30940,2600689,9886345,5366831,808921528,99175,28344634,273723513
35,56572,41416,30940,2785559,10001374,5433809,809439407,99524,29302930,269548735
36,60623,46375,31010,2835495,10172416,5106881,811347342,97219,28742731,276563062
37,57270,233062,30521,3137979,10296106,4968455,812320379,98546,28780027,272148517
38,58248,90026,32407,3069953,9842206,5272475,809112353,97010,28359930,270876144
39,53987,68095,31010,2439424,10245749,4953858,812720161,94915,28606051,269215941
40,52102,65790,30521,2770473,9713557,4915515,837243971,95473,27958271,272411681
41,53149,71378,32965,2875095,11602701,5016227,830000989,99804,28627772,273705496
42,51963,66769,31499,2453951,10714526,5104228,823774901,94426,28069739,271806087
43,51613,62509,31289,3005350,10292124,5749144,827245681,93028,28726947,270578203
44,50565,60134,31708,2660962,10297502,5977316,839800120,95404,28544032,271494175
45,50845,62020,31010,2732549,10072892,5142640,810308839,249754,28261104,272914822
46,50355,60064,31009,3159910,9966454,4952601,811664956,163150,26840038,268276506
47,53848,59156,31010,3043065,10218791,5220373,833890212,140591,27008566,272272979
48,51893,60063,31499,3140773,9847234,4880036,815596136,124598,28144679,271600894
49,49658,58597,30591,3048862,9958072,4635382,809161780,151207,28306921,267756886
50,50356,58597,28705,2708943,10344506,5137961,812665245,127531,27929986,268940072
51,51683,58598,31708,2524282,11086571,5480883,834734894,155467,29025939,275176643
52,51124,57270,32407,2707127,10310912,5295663,839131004,143036,27984881,269780825
53,49657,59295,31010,2624365,9956048,5094519,808204968,132489,28658014,269768604
54,51892,58178,31079,2425805,10370906,4905807,811626998,106020,27515196,270883136
55,51333,60483,32476,3152576,9892701,5196138,811083984,102248,27520714,273760329
56,51962,68654,31009,2674232,9807424,5107649,812492483,101620,28083498,274599126
57,54755,59016,29124,2934391,10058924,5055897,815371355,100013,27814538,270519542
58,48610,60553,31359,2505564,10098524,5023631,809953123,97149,27478879,270557466
59,49727,58667,30800,2607882,9878453,5008614,814417747,97429,27445355,270637434
60,239626,60482,30521,2687781,9880548,5126786,810279013,99245,28412171,270301427
61,126902,59225,31009,2877470,10236321,5052475,813301339,120407,29319413,274124765
62,98826,58877,31010,2901915,10301902,5121199,809911794,133676,28857830,271500677
63,90863,60064,30521,3340171,10434322,5508260,812426651,108254,27929706,269689686
64,104692,59156,30940,2508079,10515059,5949589,814440607,260020,28327174,268898382
65,94426,64883,30590,2874537,10085184,5384501,811939307,144572,28061707,271809938
66,87442,62089,32406,2517926,9536020,4821998,807194905,234738,27770398,272623872
67,103925,62927,29822,2823902,10279832,5487378,808446888,184452,27225634,272469103
68,102597,60622,32406,3004582,11225486,5324088,812518934,148413,28441086,270232079
69,91422,61530,30102,2654886,10182823,5483327,809234360,103156,28123167,268790899
70,87162,59226,32407,3022322,10171299,5079154,813478077,102598,27381659,270131088
71,76127,58178,29962,2629603,12254322,5050520,815212595,113004,29821015,279012351
72,86604,61042,32825,2609140,10592024,5205078,813133626,136471,28429772,269890136
73,96661,58178,30940,2651254,10847784,5161148,957738097,113982,27408339,272654744
74,93239,57828,29473,2780321,9868187,5172252,823189281,123550,27823756,272749519
75,93518,60552,29823,2945706,10048098,5322901,814879049,105949,27961344,271679408
76,95753,57689,31429,2604041,10387598,5696973,815224350,105670,27366365,270570255
77,95962,55733,230896,2645876,10281439,4883109,809412281,112514,29391490,269922335
78,96800,58178,28076,2558294,9790314,4806842,824958035,104064,28470070,272012762
79,98756,57480,20533,2623876,10126531,4988081,813735132,101480,30530186,271292069
80,98058,58248,20603,2928874,10305324,4773388,811894253,102876,27578612,272123882
81,100082,57270,21511,2713622,9698681,4993039,816242102,160077,29218423,270182077
82,100712,59155,30940,2784512,10150556,5214717,807991446,170763,28475448,272469040
83,97778,57689,181727,2580923,10273547,5083484,809906575,345646,28165631,267255019
84,91562,57689,76686,2691413,9992295,5911037,809336463,189969,27816912,269224342
85,89397,59156,39112,3131484,9968269,5529911,822465000,122153,28307689,272226341
86,90584,56711,37295,3348062,10298620,5311517,811746003,107346,28260615,273151393
87,84578,57968,32686,2780181,10194626,5405035,811068545,104971,27262300,272924548
88,85835,55803,33385,2605927,10275502,5177980,812465380,103226,28158787,270609441
89,59574,64324,31010,2956531,9890256,5274221,811903509,103296,28011072,273777664
90,82902,207778,31010,2912740,9821253,4906366,813012597,97778,27849947,271573954
91,237042,76686,36108,2677374,10029660,5112748,832689897,118940,30139074,275730155
92,167899,61880,33803,2568282,11657875,5434019,813695446,111257,28015402,271742063
93,89187,60831,31429,2845553,9973508,5287073,821763127,103575,27635114,270347607
94,80946,60064,41835,2724029,9869024,4921662,817686549,104971,28019383,270958651
95,68514,59575,30800,2927686,10308467,5005821,816915852,117543,28760891,272527712
96,65791,58737,31010,3073096,10219559,5403568,819546158,115727,28353435,273992500
97,62997,58038,30032,2956531,10214251,5136284,809972562,108743,28752789,270389095
98,89816,56991,30521,2638333,10394233,5172812,822719208,105461,27967561,269432964
99,78083,60553,31079,2936695,10434112,5155421,856878994,105321,28480128,270609515
