Test,Size,"Min, us","Max, us","Mean, us","lg2(Size), us","Median, us"
NaiveSearch,100,541,767,551,6.644,557
,200,1011,2246,1051,7.644,1074
,300,1492,2308,1533,8.229,1562
,400,1976,3966,1998,8.644,2167
,500,2459,5135,2556,8.966,2646
,600,2921,6300,2995,9.229,3120
,700,3393,7245,3443,9.451,3466
,800,3918,7003,4016,9.644,4002
,900,4404,8680,4437,9.814,4529
,1000,4894,9982,4938,9.966,5061
,1100,5318,11283,5373,10.103,5505
,1200,5792,12757,5954,10.229,6009
,1300,6274,11589,7115,10.344,6606
,1400,6810,14292,7727,10.451,7350
,1500,7354,15794,7377,10.551,7724
,1600,7800,16841,7845,10.644,8448
,10000,48151,82873,48832,13.288,51573
,,,,,,
,,,,,,
NaiveSortedSearch,100,21.861,48.751,22.8735,6.644,25.533511
,200,50.007,80.25,51.0205,7.644,54.421801
,300,49.659,74.313,51.439,8.229,54.810134
,400,59.716,88.212,61.497,8.644,64.713767
,500,77.526,109.864,100.33,8.966,81.001524
,600,78.085,121.597,79.4465,9.229,83.19755
,700,66.7,107.628,68.551,9.451,71.788088
,800,81.507,125.928,89.19,9.644,90.684634
,900,88.073,142.969,98.0945,9.814,96.43594
,1000,84.3,135.775,105.2535,9.966,92.654085
,1100,88.421,130.187,90.4465,10.103,102.080916
,1200,95.824,154.493,118.5235,10.229,104.238118
,1300,87.513,141.572,88.596,10.344,96.498657
,1400,101.412,159.033,102.076,10.451,110.707512
,1500,87.863,133.331,122.33,10.551,96.249233
,1600,92.123,140.245,93.2755,10.644,100.764396
,10000,235.092,431.77,239.492,13.288,256.141751
,,,,,,
,,,,,,
BinarySearch,100,63.347,125.089,64.6755,6.644,67.272961
,200,80.459,194.652,92.961,7.644,96.138269
,300,138.638,265.892,146.461,8.229,148.78648
,400,155.471,269.455,197.7255,8.644,170.956442
,500,190.811,275.741,197.4815,8.966,200.106564
,600,193.117,304.167,198.3545,9.229,203.36538
,700,196.329,276.928,197.6215,9.451,205.518932
,800,202.684,281.397,211.6245,9.644,213.528111
,900,214.069,308.078,221.403,9.814,226.442979
,1000,218.748,331.335,222.6595,9.966,231.324187
,1100,225.523,339.228,234.114,10.103,242.918293
,1200,227.27,360.321,230.447,10.229,243.439012
,1300,241.028,372.404,326.202,10.344,272.493415
,1400,241.588,335.736,244.521,10.451,253.984543
,1500,237.467,334.409,245.4285,10.551,245.236208
,1600,250.877,312.059,254.9975,10.644,259.553678
,10000,361.787,470.254,383.2285,13.288,372.53454
,,,,,,
,,,,,,
DuplicatesNaive,100,2.863,123.064,4.261,,4.657834
,200,10.826,28.636,12.1525,,13.186304
,300,23.537,158.474,24.0255,,26.628009
,400,41.068,121.597,42.185,,51.005925
,500,64.186,222.241,65.0585,,72.182957
,600,91.285,276.579,176.039,,107.069973
,700,123.972,290.547,151.979,,135.474637
,800,161.059,355.851,162.1755,,169.238948
,900,201.148,444.342,210.1225,,227.715838
,1000,247.873,661.205,250.387,,269.648366
,1100,300.674,721.34,313.6655,,348.617901
,1200,356.339,779.728,363.4285,,391.117955
,1300,416.474,969.213,424.122,,442.790164
,1400,482.406,1046.529,488.692,,516.341473
,1500,550.783,1258.921,560.3855,,616.244329
,1600,631.661,1396.722,677.303,,724.252468
,10000,24094.662,48200.018,24189.753,,25707.494946
,,,,,,
,,,,,,
DuplicatesBinary,100,0.907,16.553,1.9205,,1.881705
,200,1.397,57.201,2.3395,,3.03692
,300,2.793,71.52,3.7715,,4.531904
,400,3.771,47.563,6.9145,,6.966922
,500,5.239,55.805,9.9875,,10.511776
,600,9.359,65.723,11.6985,,12.544711
,700,7.124,226.85,14.527,,13.676449
,800,7.613,208.9,9.1145,,13.453921
,900,8.939,129.698,10.4415,,11.796826
,1000,10.406,83.533,11.6985,,15.904134
,1100,11.454,202.405,19.835,,19.980535
,1200,13.48,141.293,19.5215,,22.853803
,1300,14.248,141.711,38.6575,,25.373128
,1400,16.762,178.589,20.394,,28.799846
,1500,21.441,223.777,42.4995,,38.170531
,1600,23.258,158.265,28.077,,39.195547
,10000,354.244,663.927,515.371,,408.123847
,,,,,,
,,,,,,
DuplicatesSmart,100,0.907,46.865,1.397,,1.588022
,200,0.908,42.115,2.1655,,1.922805
,300,0.908,46.655,1.9205,,2.066589
,400,0.907,46.795,1.1875,,2.152563
,500,1.397,47.283,2.864,,2.957919
,600,1.396,44.909,2.654,,3.085956
,700,1.886,53.499,2.584,,4.103831
,800,2.304,105.951,4.7495,,5.23262
,900,2.375,102.11,5.2735,,5.158858
,1000,2.794,52.522,4.0505,,4.80384
,1100,3.352,134.727,5.3775,,6.279505
,1200,2.794,71.24,4.1205,,5.357279
,1300,2.864,123.552,3.806,,6.004053
,1400,3.701,149.254,4.4695,,7.939893
,1500,3.352,155.54,7.997,,7.152848
,1600,3.701,113.564,7.299,,7.250459
,10000,35.2,1114.694,40.788,,59.412016
