Size,100,1000,5000,10000,50000,100000
0,10965,543088,12419439,48573911,1221617316,4874690838
1,8102,511938,12497731,48889874,1236475274,4895564046
2,8940,514523,12426982,49864654,1220548531,4858908741
3,7612,556218,12688260,48568044,1208225822,4861004620
4,8521,512148,12437249,47962588,1239158100,4849061782
5,11035,514243,12426004,47989617,1223623656,4889395368
6,8940,512148,12397719,48099198,1218303683,4866228010
7,8661,516757,12905327,47943381,1213419383,4862682854
8,8451,524580,12483205,47953229,1216830586,4858573377
9,7543,513894,12440601,47920823,1209087250,4854494981
10,8521,517736,12410639,47956093,1220376582,4857923437
11,8031,561736,12599491,48227567,1230238773,4868859653
12,8661,511450,12467910,48452247,1214529446,4849995584
13,8450,526256,12524062,48020068,1237249331,4863219671
14,8171,511869,12471820,48002049,1235307875,4825345770
15,8940,515640,12459668,48627759,1217392252,4841117888
16,7683,576542,12471262,48422355,1218080821,4868882503
17,8520,515291,12432639,48500019,1236113918,4869375028
18,7264,527025,12425446,48316685,1241725689,4927227816
19,7683,527304,12504297,48036620,1259760462,4847078317
20,8730,558524,12492563,48070563,1225633770,4839474526
21,8521,550421,12546830,52121025,1228008454,4865597865
22,7752,545323,12407427,49032771,1231521136,4868738922
23,7474,544066,12442557,48946796,1215366918,4886701760
24,22001,519481,12478595,48509448,1215219623,4908445822
25,8940,514523,12410151,48423612,1238452914,4973814053
26,8520,512358,12408754,48519924,1218240760,4954936224
27,8520,525907,12416576,48108976,1213499076,4982857285
28,8101,526187,12460506,48112537,1215203001,4863034275
29,9918,515431,12394297,48036201,1214604878,4854957587
30,10965,524860,12368315,48359917,1210443717,4951007434
31,9149,578358,12519592,48096055,1221702529,4956685627
32,7543,531704,12422094,48474806,1220272803,4909673584
33,8590,518085,12365172,48037319,1222751131,4941356662
34,10825,555590,12352950,47950785,1216979284,4881579881
35,11593,528771,12389617,47950226,1209733638,4880376512
36,8591,518015,12445909,48103109,1207058846,4915023387
37,11105,520739,12356163,47923686,1225597526,4870052044
38,8590,515221,12756634,48187967,1211546657,4909833602
39,8730,515570,13305520,48308583,1208855382,4868904481
40,7543,522764,13597527,47919776,1212787184,4936417128
41,8171,574587,14582922,48003864,1208345817,4920852794
42,8451,529050,13846302,48757734,1203119153,4900147769
43,8242,530586,12993747,48063370,1213713982,4880613220
44,8521,523882,13103188,48077058,1213490629,4890333564
45,7683,522904,12725415,48298456,1214142251,4876190855
46,8032,534987,12719059,48020906,1217675746,4956431502
47,7613,521367,12598095,47941775,1208813129,4873761070
48,8101,524021,12782127,47839737,1208468112,4888672739
49,7962,557685,12651174,47849724,1213289276,4927249459
50,8660,516409,12696920,47828562,1210686840,4944584631
51,8102,548117,12794698,47898753,1216991509,4882350404
52,8660,528770,12548367,48281973,1226137474,4930098512
53,8102,516129,12635250,47893096,1210962086,4952159095
54,8730,512637,12727790,47857337,1210038501,4943539179
55,8451,514733,12694894,47981305,1209008337,4910054960
56,8731,512638,12546342,47857197,1204285790,4958389109
57,7892,512847,12641047,47950296,1207471893,4932497928
58,8660,521298,12550113,47838410,1217483195,4917128591
59,7962,512358,12508138,48245586,1209269686,4894326712
60,8521,551259,12583706,48188037,1210834835,4900699199
61,8730,540085,12790578,48210945,1226215419,4937115580
62,8032,522625,12496125,47965591,1215924751,4972931952
63,8101,534358,12543757,47918518,1211137041,4869070534
64,8521,526815,12456945,47885692,1212264284,4859443292
65,7682,521437,12491516,47880384,1219651568,4898883326
66,8940,512638,12471122,47954626,1210477807,4893565030
67,8172,512427,12607034,47861667,1216025602,4997628153
68,8520,511660,12707816,47842949,1206132962,5037149411
69,8660,512847,12730653,47835896,1211821349,4939627514
70,8660,531774,12646215,47844556,1215746936,4867105692
71,8171,560478,12549275,48144596,1222202812,4862277405
72,8521,513056,12456316,48144944,1212945730,4892806629
73,8241,522066,12617649,47883737,1217314391,4896919671
74,7892,524790,12666888,47897985,1212738999,4918021329
75,8172,515501,12570437,48083554,1217628399,4900330177
76,7962,523462,12464906,47987033,1226458330,4869926252
77,8032,512638,12537122,47825978,1223920497,4872251070
78,7613,519552,12625891,47902385,1226286311,4869599396
79,8031,516059,12655714,47823953,1216579448,4867260961
80,7194,533939,12493891,47826187,1210874090,4865429437
81,7961,550910,12489700,48530469,1215830189,4885581738
82,7753,515641,12640139,49179787,1214010187,4860027052
83,8032,531285,12485370,49108758,1208800145,4867209563
84,8660,527723,12522456,49234333,1210915157,4901773116
85,7543,514593,12569878,48702490,1237267504,4879740263
86,8590,516269,12528951,48598425,1218716254,4911381714
87,8451,516828,12430474,48474667,1237159669,4867031820
88,8591,515291,12418531,48469359,1240863648,4918310351
89,8521,533729,12443115,48507073,1223251627,4875981184
90,8172,516269,12317401,49044714,1215561509,4860188536
91,8032,575076,12364055,48880166,1220081238,4865076890
92,8171,518574,12275775,48315986,1205663631,4890142127
93,8102,517456,12098657,49313534,1209810195,4855067685
94,7473,521437,12236944,52812667,1210013435,4882229636
95,8241,624314,12403725,49887701,1207397379,4847346071
96,8381,665940,12374392,48639213,1203430936,4854701369
97,8661,648479,12331369,49144377,1212441827,4860082385
98,8101,646314,12308182,49946578,1219232175,4867689251
99,8172,642403,12084899,50607908,1210829604,4859368606
